year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2011,Eureka Valley/Dolores Heights,413.162804,374507,1530
2011,Financial District North,281.3129044,374507,1530
2011,Financial District South,354.6655579,374507,1530
2011,Glen Park,457.4138843,374507,1530
2011,Golden Gate Heights,348.9297,374507,1530
2011,Haight Ashbury,392.353451,374507,1530
2011,Hayes Valley,280.7306331,374507,1530
2011,Ingleside ,356.7090091,374507,1530
2011,Ingleside Heights,198.0158729,374507,1530
2011,Inner Mission,283.1749507,374507,1530
2011,Inner Richmond,360.0372724,374507,1530
2011,Inner Sunset,302.6044895,374507,1530
2011,Jordan Park/Laurel Heights,610.7666632,374507,1530
2011,Lake --The Presidio,330.1088944,374507,1530
2011,Lone Mountain,313.3384582,374507,1530
2011,Lower Pacific Heights,303.5441997,374507,1530
2011,Marina,390.818469,374507,1530
2011,Miraloma Park,414.6760648,374507,1530
2011,Mission Bay,506.9521745,374507,1530
2011,Mission Dolores,293.4042461,374507,1530
2011,Nob Hill,340.642597,374507,1530
2011,Noe Valley,373.9786871,374507,1530
2011,North Beach,290.9210327,374507,1530
2011,North Waterfront,346.96116,374507,1530
2011,Outer Mission,142.1425675,374507,1530
2011,Outer Parkside,241.9456565,374507,1530
2011,Outer Richmond ,271.0901396,374507,1530
2011,Outer Sunset,297.2455578,374507,1530
2011,Pacific Heights,509.02148,374507,1530
2011,Park North,289.6056001,374507,1530
2011,Parkside,217.5587868,374507,1530
2011,Parnassus/Ashbury Heights,466.6178977,374507,1530
2011,Portola,208.1679967,374507,1530
2011,Potrero Hill,503.1385046,374507,1530
2011,Presidio Heights,493.8149173,374507,1530
2011,Russian Hill,448.3201042,374507,1530
2011,South Beach,388.6443368,374507,1530
2011,South of Market,337.9141346,374507,1530
2011,Sunnyside,437.1642995,374507,1530
2011,Telegraph Hill,483.4057725,374507,1530
2011,Twin Peaks,284.5669664,374507,1530
2011,Union Square District,302.1232528,374507,1530
2011,Van Ness/ Civic Center,384.236802,374507,1530
2011,Western Addition,227.4189809,374507,1530
2011,Westwood Highlands,320.0743331,374507,1530
2011,Yerba Buena,438.8605451,374507,1530
2012,Alamo Square,183.0993169,376454,2324
2012,Anza Vista,344.490914,376454,2324
2012,Bayview,165.7980624,376454,2324
2012,Bernal Heights ,368.2665608,376454,2324
2012,Buena Vista Park,338.6011635,376454,2324
2012,Central Richmond,279.0301399,376454,2324
2012,Central Sunset,334.4878725,376454,2324
2012,Corona Heights,356.7948136,376454,2324
2012,Cow Hollow,644.8183067,376454,2324
2012,Croker Amazon,415.0903401,376454,2324
2012,Diamond Heights,366.9954275,376454,2324
2012,Downtown ,269.1095288,376454,2324
2012,Duboce Triangle,452.6600224,376454,2324
2012,Eureka Valley/Dolores Heights,524.8134181,376454,2324
2012,Excelsior,371.0302153,376454,2324
2012,Financial District North,286.3519821,376454,2324
2012,Financial District South,613.8430658,376454,2324
2012,Forest Knolls,434.6323465,376454,2324
2012,Haight Ashbury,418.8303793,376454,2324
2012,Hayes Valley,306.3779579,376454,2324
2012,Inner Mission,336.8259502,376454,2324
2012,Inner Richmond,373.4668636,376454,2324
2012,Inner Sunset,325.8289204,376454,2324
2012,Jordan Park/Laurel Heights,383.1503961,376454,2324
2012,Lake --The Presidio,380.5214843,376454,2324
2012,Lone Mountain,545.9801982,376454,2324
2012,Lower Pacific Heights,396.1711124,376454,2324
2012,Marina,445.2150955,376454,2324
2012,Merced Heights,421.1412447,376454,2324
2012,Midtown Terrace,397.9391289,376454,2324
2012,Miraloma Park,756.1923725,376454,2324
2012,Mission Bay,689.5233124,376454,2324
2012,Mission Dolores,320.959923,376454,2324
2012,Nob Hill,307.7831144,376454,2324
2012,Noe Valley,428.0219127,376454,2324
2012,North Beach,517.1734931,376454,2324
2012,North Waterfront,390.3838568,376454,2324
2012,Oceanview,442.242657,376454,2324
2012,Outer Mission,221.8811387,376454,2324
2012,Outer Parkside,312.8339844,376454,2324
2012,Outer Richmond ,338.6330117,376454,2324
2012,Outer Sunset,413.0587194,376454,2324
2012,Pacific Heights,586.2182148,376454,2324
2012,Park North,288.0785188,376454,2324
2012,Parkside,378.2738784,376454,2324
2012,Parnassus/Ashbury Heights,515.9210732,376454,2324
2012,Portola,351.0432257,376454,2324
2012,Potrero Hill,466.6478402,376454,2324
2012,Presidio Heights,426.6085921,376454,2324
2012,Russian Hill,414.1627279,376454,2324
2012,South of Market,463.8098989,376454,2324
2012,Telegraph Hill,465.8021216,376454,2324
2012,Twin Peaks,304.8996476,376454,2324
2012,Union Square District,445.1967876,376454,2324
2012,Van Ness/ Civic Center,345.9580404,376454,2324
2012,West Portal,325.7954151,376454,2324
2012,Western Addition,274.33846,376454,2324
2012,Yerba Buena,491.8140031,376454,2324
2013,Alamo Square,387.7941438,378401,2971
2013,Anza Vista,453.3404983,378401,2971
2013,Bayview,259.5471626,378401,2971
2013,Bernal Heights ,630.8973026,378401,2971
2013,Buena Vista Park,455.2180888,378401,2971
2013,Central Richmond,343.054261,378401,2971
2013,Central Sunset,330.736431,378401,2971
2013,Clarendon Heights,453.7716045,378401,2971
2013,Cow Hollow,707.4028089,378401,2971
2013,Croker Amazon,223.1158329,378401,2971
2013,Diamond Heights,533.688447,378401,2971
2013,Downtown ,361.454692,378401,2971
2013,Eureka Valley/Dolores Heights,608.6949672,378401,2971
2013,Excelsior,289.7496657,378401,2971
2013,Financial District North,274.4579436,378401,2971
2013,Glen Park,458.7213318,378401,2971
2013,Golden Gate Heights,956.1841219,378401,2971
2013,Haight Ashbury,478.4956366,378401,2971
2013,Hayes Valley,491.5892614,378401,2971
2013,Inner Mission,377.5180156,378401,2971
2013,Inner Richmond,302.967377,378401,2971
2013,Inner Sunset,435.5456668,378401,2971
2013,Jordan Park/Laurel Heights,584.0737147,378401,2971
2013,Lake --The Presidio,568.6511488,378401,2971
2013,Lone Mountain,376.083598,378401,2971
2013,Lower Pacific Heights,548.046689,378401,2971
2013,Marina,655.1980416,378401,2971
2013,Midtown Terrace,703.0815677,378401,2971
2013,Mission Bay,,378401,2971
2013,Mission Dolores,427.1662661,378401,2971
2013,Mission Terrace,591.4020223,378401,2971
2013,Nob Hill,466.0264879,378401,2971
2013,Noe Valley,615.0639297,378401,2971
2013,North Beach,393.7173353,378401,2971
2013,North Waterfront,483.1688033,378401,2971
2013,Outer Parkside,372.2419862,378401,2971
2013,Outer Richmond ,332.4078154,378401,2971
2013,Outer Sunset,322.0822144,378401,2971
2013,Pacific Heights,503.8992613,378401,2971
2013,Park North,512.630722,378401,2971
2013,Parkside,364.624653,378401,2971
2013,Parnassus/Ashbury Heights,425.6422553,378401,2971
2013,Portola,235.9975925,378401,2971
2013,Potrero Hill,598.7047953,378401,2971
2013,Presidio Heights,512.8402484,378401,2971
2013,Russian Hill,506.2275222,378401,2971
2013,South of Market,420.8221846,378401,2971
2013,Sunnyside,505.8348114,378401,2971
2013,Telegraph Hill,653.3116167,378401,2971
2013,Twin Peaks,414.4356925,378401,2971
2013,Union Square District,1290.472107,378401,2971
2013,Van Ness/ Civic Center,285.0095061,378401,2971
2013,Visitacion Valley,293.2983722,378401,2971
2013,West Portal,588.0747968,378401,2971
2013,Western Addition,217.089069,378401,2971
2013,Westwood Highlands,747.3335378,378401,2971
2013,Yerba Buena,753.0114133,378401,2971
2014,Alamo Square,484.4435522,380348,3528
2014,Anza Vista,620.4414066,380348,3528
2014,Bayview,254.9586616,380348,3528
2014,Bernal Heights ,544.5469286,380348,3528
2014,Central Richmond,423.9527269,380348,3528
2014,Central Sunset,456.2419958,380348,3528
2014,Corona Heights,888.1821435,380348,3528
2014,Cow Hollow,691.8654115,380348,3528
2014,Downtown ,428.7265327,380348,3528
2014,Duboce Triangle,630.3115352,380348,3528
2014,Eureka Valley/Dolores Heights,728.9797158,380348,3528
2014,Excelsior,358.3052387,380348,3528
2014,Financial District North,409.9438352,380348,3528
2014,Financial District South,694.4181461,380348,3528
2014,Glen Park,553.5627523,380348,3528
2014,Golden Gate Heights,567.3400105,380348,3528
2014,Haight Ashbury,496.5510012,380348,3528
2014,Hayes Valley,428.9237927,380348,3528
2014,Ingleside ,647.6496335,380348,3528
2014,Inner Mission,464.1758437,380348,3528
2014,Inner Parkside,597.200528,380348,3528
2014,Inner Richmond,430.9396363,380348,3528
2014,Inner Sunset,470.8535299,380348,3528
2014,Jordan Park/Laurel Heights,426.7863812,380348,3528
2014,Lake --The Presidio,432.962723,380348,3528
2014,Lone Mountain,317.2219194,380348,3528
2014,Lower Pacific Heights,716.3765096,380348,3528
2014,Marina,642.8384782,380348,3528
2014,Merced Heights,528.7265414,380348,3528
2014,Miraloma Park,1267.766203,380348,3528
2014,Mission Bay,220.1110872,380348,3528
2014,Mission Dolores,642.2195926,380348,3528
2014,Mission Terrace,300.1873092,380348,3528
2014,Nob Hill,478.4433518,380348,3528
2014,Noe Valley,654.8014999,380348,3528
2014,North Waterfront,379.9253617,380348,3528
2014,Outer Parkside,650.963516,380348,3528
2014,Outer Richmond ,401.9350222,380348,3528
2014,Outer Sunset,490.3635829,380348,3528
2014,Pacific Heights,824.6586936,380348,3528
2014,Park North,371.9242452,380348,3528
2014,Parkside,446.2392453,380348,3528
2014,Parnassus/Ashbury Heights,773.4061348,380348,3528
2014,Portola,538.2046986,380348,3528
2014,Potrero Hill,1045.201546,380348,3528
2014,Presidio Heights,603.4509969,380348,3528
2014,Russian Hill,714.2220738,380348,3528
2014,Silver Terrace,170.2925485,380348,3528
2014,South Beach,524.6293121,380348,3528
2014,South of Market,1119.838877,380348,3528
2014,Sunnyside,493.4556049,380348,3528
2014,Telegraph Hill,708.1930317,380348,3528
2014,Twin Peaks,562.9112338,380348,3528
2014,Union Square District,558.2711194,380348,3528
2014,Van Ness/ Civic Center,475.3931868,380348,3528
2014,Visitacion Valley,282.0254683,380348,3528
2014,West Portal,687.7829633,380348,3528
2014,Western Addition,429.4883174,380348,3528
2014,Westwood Park,742.9797232,380348,3528
2014,Yerba Buena,479.9237488,380348,3528
2015,Alamo Square,602.1158769,382295,3739
2015,Anza Vista,465.6862745,382295,3739
2015,Bayview Heights,590.7928389,382295,3739
2015,Bernal Heights ,458.0042993,382295,3739
2015,Buena Vista Park,551.6956218,382295,3739
2015,Central Richmond,473.163815,382295,3739
2015,Central Sunset,453.3793771,382295,3739
2015,Corona Heights,1100.791194,382295,3739
2015,Cow Hollow,598.6205415,382295,3739
2015,Croker Amazon,301.6186471,382295,3739
2015,Downtown ,485.8868856,382295,3739
2015,Duboce Triangle,631.6456863,382295,3739
2015,Eureka Valley/Dolores Heights,790.1803691,382295,3739
2015,Excelsior,414.3558565,382295,3739
2015,Financial District North,694.3585667,382295,3739
2015,Financial District South,453.4330813,382295,3739
2015,Glen Park,612.1061563,382295,3739
2015,Golden Gate Heights,772.7128362,382295,3739
2015,Haight Ashbury,574.2740565,382295,3739
2015,Hayes Valley,536.5571019,382295,3739
2015,Hunters Point,,382295,3739
2015,Ingleside ,192.1652481,382295,3739
2015,Inner Mission,435.9007754,382295,3739
2015,Inner Parkside,762.5272331,382295,3739
2015,Inner Richmond,493.6155576,382295,3739
2015,Inner Sunset,639.1464439,382295,3739
2015,Jordan Park/Laurel Heights,576.4579094,382295,3739
2015,Lake --The Presidio,426.6849523,382295,3739
2015,Lone Mountain,918.2882682,382295,3739
2015,Lower Pacific Heights,800.0388651,382295,3739
2015,Marina,1132.837361,382295,3739
2015,Mission Dolores,571.7557086,382295,3739
2015,Mission Terrace,583.8486362,382295,3739
2015,Nob Hill,529.8473191,382295,3739
2015,Noe Valley,544.6002639,382295,3739
2015,North Beach,448.8691967,382295,3739
2015,North Waterfront,890.9095932,382295,3739
2015,Oceanview,265.9298265,382295,3739
2015,Outer Mission,564.6874765,382295,3739
2015,Outer Parkside,652.287969,382295,3739
2015,Outer Richmond ,438.4677874,382295,3739
2015,Outer Sunset,357.8946922,382295,3739
2015,Pacific Heights,910.1876902,382295,3739
2015,Park North,616.5723883,382295,3739
2015,Parkside,,382295,3739
2015,Parnassus/Ashbury Heights,605.3433249,382295,3739
2015,Potrero Hill,821.3009905,382295,3739
2015,Presidio Heights,,382295,3739
2015,Russian Hill,793.2619916,382295,3739
2015,South of Market,717.0825412,382295,3739
2015,Sunnyside,439.7498835,382295,3739
2015,Telegraph Hill,996.9902205,382295,3739
2015,Twin Peaks,417.3353789,382295,3739
2015,Union Square District,2258.702832,382295,3739
2015,Van Ness/ Civic Center,677.8382318,382295,3739
2015,Visitacion Valley,302.2218727,382295,3739
2015,Western Addition,481.4692443,382295,3739
2015,Yerba Buena,963.5226062,382295,3739
2016,Alamo Square,340.9818352,384242,4390
2016,Anza Vista,88.40151095,384242,4390
2016,Bernal Heights ,986.8421053,384242,4390
2016,Buena Vista Park,851.4014053,384242,4390
2016,Central Richmond,661.0644258,384242,4390
2016,Central Sunset,581.3708751,384242,4390
2016,Cow Hollow,1059.065602,384242,4390
2016,Croker Amazon,566.701176,384242,4390
2016,Downtown ,718.7768297,384242,4390
2016,Eureka Valley/Dolores Heights,1026.791108,384242,4390
2016,Excelsior,534.2262501,384242,4390
2016,Financial District North,,384242,4390
2016,Glen Park,945.5665025,384242,4390
2016,Haight Ashbury,531.8350322,384242,4390
2016,Hayes Valley,175.0660692,384242,4390
2016,Ingleside Heights,571.5799833,384242,4390
2016,Inner Mission,647.7704472,384242,4390
2016,Inner Parkside,518.1126505,384242,4390
2016,Inner Richmond,403.3111322,384242,4390
2016,Inner Sunset,445.9238283,384242,4390
2016,Jordan Park/Laurel Heights,704.566419,384242,4390
2016,Lower Pacific Heights,636.4307703,384242,4390
2016,Marina,431.944602,384242,4390
2016,Merced Heights,1416.666667,384242,4390
2016,Mission Bay,924.5691159,384242,4390
2016,Mission Terrace,879.0170132,384242,4390
2016,Nob Hill,777.0083145,384242,4390
2016,Noe Valley,799.4956513,384242,4390
2016,North Beach,407.5533216,384242,4390
2016,Outer Mission,40.77262535,384242,4390
2016,Outer Parkside,732.7206841,384242,4390
2016,Outer Richmond ,1196.645437,384242,4390
2016,Outer Sunset,510.5769072,384242,4390
2016,Pacific Heights,996.3893636,384242,4390
2016,Park North,211.3013699,384242,4390
2016,Parnassus/Ashbury Heights,1207.997485,384242,4390
2016,Potrero Hill,707.6516094,384242,4390
2016,Presidio Heights,1465.968586,384242,4390
2016,Russian Hill,1024.339877,384242,4390
2016,South of Market,531.1363737,384242,4390
2016,Sunnyside,751.1737089,384242,4390
2016,Telegraph Hill,903.0497706,384242,4390
2016,Twin Peaks,970.0854701,384242,4390
2016,Van Ness/ Civic Center,552.6025671,384242,4390
2016,Visitacion Valley,328.3190067,384242,4390
2016,Westwood Park,631.1954259,384242,4390
